"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"123";"PRINTER EPSON L-310 TK KOPER";"1";"2017-08-30";"1";"12";"1";"0";"1695000";"1695000";"0";"0";"1695000";"0"
"124";"1 UNIT RAKITAN (R.AULA MULTIMEDIA) TK KOPER";"1";"2017-09-20";"1";"12";"1";"0";"5050000";"5050000";"0";"0";"5050000";"0"
"125";"6 AC DAIKIN @Rp.5.450.000 SMP KOPER";"6";"2017-11-02";"1";"12";"1";"0";"32700000";"32700000";"0";"0";"32700000";"0"
"126";"Kipas Angin Untuk Kelas";"1";"2017-12-02";"1";"12";"1";"0";"3546000";"3546000";"0";"0";"3546000";"0"
"";"";"";"";"";"";"";"TOTAL";"334634500";"241479208.19";"93155291.81";"1199208.33";"242678416.52";"91956083.48"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Taman Kopo Indah";"";"";"";"";"";"";"";"";"";"";"";"";""
"127";"SOUND SYSTEM TK/SD TKI";"1";"2016-02-29";"1";"12";"1";"0";"3700000";"3700000";"0";"0";"3700000";"0"
"128";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"2016-03-30";"1";"12";"1";"0";"4715000";"4715000";"0";"0";"4715000";"0"
"129";"KURSI TUNGGU DUMA UTK TK&SD TKI @2BH";"4";"2016-04-30";"4";"33";"2.75";"1.25";"5000000";"3437500.11";"1562499.89";"104166.67";"3541666.78";"1458333.22"
"130";"1 SET SPEAKER+MIC WIRELESS SUX 14E/DGA 31";"1";"2016-06-30";"1";"12";"1";"0";"4000000";"4000000";"0";"0";"4000000";"0"
"131";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"1";"2016-07-30";"1";"12";"1";"0";"5380556";"5380556";"0";"0";"5380556";"0"
"132";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"2";"2016-07-30";"1";"12";"1";"0";"9519444";"9519444";"0";"0";"9519444";"0"
"133";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"1";"2016-07-30";"1";"12";"1";"0";"4762024";"4762024";"0";"0";"4762024";"0"
