    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"90";"LAPTOP ASUS (TK CTL)";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"91";"SOUND SYSTEM TK/SD CTL";"1";"2016-02-29";"1";"12";"1";"0";"27700000";"27700000";"0";"0";"27700000";"0"
"92";"TV40""PANASONIC R.GURU SD CTL";"1";"2016-08-30";"1";"12";"1";"0";"3950000";"3950000";"0";"0";"3950000";"0"
"93";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"94";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"95";"1 SET PERLENGK.DRUMBAND (8 BH SNAREDRUM,2 BH STIK MAYORET,2 BH BELLYRA)";"1";"2016-10-30";"1";"12";"1";"0";"8812800";"8812800";"0";"0";"8812800";"0"
"96";" 2 HANDYCAM+MEMORY+TRIPOD U/ TK & SD CTL";"1";"2017-01-30";"1";"10";"0.83";"0.17";"5350000";"4458333.30";"891666.70";"445833.33";"4904166.63";"445833.37"
"97";"PC INTEL LGA + MAINBOARD + HARDISK";"11";"2017-07-30";"1";"4";"0.33";"0.67";"42570000";"14190000.00";"28380000.00";"3547500";"17737500.00";"24832500.00"
"98";"PRINTER EPSON L-310 SD CTL";"1";"2017-08-30";"1";"3";"0.25";"0.75";"1690000";"422499.99";"1267500.01";"140833.33";"563333.32";"1126666.68"
"99";"PRINTER EPSON L-310 TK CTL";"1";"2017-08-30";"1";"3";"0.25";"0.75";"1690000";"422499.99";"1267500.01";"140833.33";"563333.32";"1126666.68"
"100";"DP I MAINAN TK PASUNDAN (I.PRISKA)";"0";"2011-10-30";"5";"60";"5";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"101";"DP II MAINAN TK PASUNDAN (I.PRISKA)";"1";"2011-12-30";"5";"60";"5";"0";"15000000";"15000000";"0";"0";"15000000";"0"
"";"";"";"";"";"";"";"TOTAL";"155388735";"114705029.83";"40683705.17";"4965345.02";"119670374.85";"35718360.15"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Kopo Permai";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"TV SHARP LED 24"" (CCTV SMP KOPER)";"2";"2014-12-30";"2";"24";"2";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"103";"PERSNL KOMPT @5.920.000";"6";"2015-06-30";"6";"29";"2.42";"3.58";"35520000";"14306666.57";"21213333.43";"493333.33";"14799999.90";"20720000.10"
"104";"AC RUANG AUDIO SMP KOPER";"2";"2015-09-30";"2";"24";"2";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"105";"TV 32"" SAMSUNG (R.TUNGGU) SMP KOPER";"1";"2015-11-30";"1";"12";"1";"0";"2625000";"2625000";"0";"0";"2625000";"0"
"106";"AC+ONGKOS+PIPA+BREKET (bang baru)";"16";"2015-12-30";"16";"22";"1.83";"14.17";"85800000";"9831250.00";"75968750.00";"446875";"10278125.00";"75521875.00"
"107";"LAPTOP ASUS SMP KOPER";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"108";"KURSI TUNGGU DUMA 4 SEAT @1.25 JT";"2";"2016-03-30";"2";"20";"1.67";"0.33";"2500000";"2083333.40";"416666.60";"104166.67";"2187500.07";"312499.93"
"109";"LOCKER SMP KOPER";"1";"2016-04-30";"1";"12";"1";"0";"35308500";"35308500";"0";"0";"35308500";"0"
"110";"INFOCUS ";"1";"2016-07-30";"1";"12";"1";"0";"4250000";"4250000";"0";"0";"4250000";"0"
"111";"TV40""PANASONIC R.GURU SD+SMP KOPER";"2";"2016-08-30";"1";"12";"1";"0";"7900000";"7900000";"0";"0";"7900000";"0"
"112";"AMPLIFIER TOA ZA-2240 SMP KOPER";"1";"2016-08-30";"1";"12";"1";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"113";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"114";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD KOPER";"2";"2017-01-30";"1";"10";"0.83";"0.17";"5350000";"4458333.30";"891666.70";"445833.33";"4904166.63";"445833.37"
"115";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"2017-02-28";"5";"9";"0.75";"4.25";"15540000";"2331000.00";"13209000.00";"259000";"2590000.00";"12950000.00"
"116";"AMPLIFIER 120W";"1";"2017-03-30";"1";"8";"0.67";"0.33";"2215000";"1476666.64";"738333.36";"184583.33";"1661249.97";"553750.03"
"117";"PC INTEL + MAINBOARD + HARDISK";"13";"2017-07-30";"1";"4";"0.33";"0.67";"50310000";"16770000.00";"33540000.00";"4192500";"20962500.00";"29347500.00"
"118";"Printer EPSON L310";"1";"2017-07-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"119";"PRINTER EPSON L-310 SD KOPER";"2";"2017-08-30";"1";"3";"0.25";"0.75";"3390000";"847500.00";"2542500.00";"282500";"1130000.00";"2260000.00"
"120";"PRINTER EPSON L-310 SMP KOPER";"1";"2017-08-30";"1";"3";"0.25";"0.75";"1695000";"423750.00";"1271250.00";"141250";"565000.00";"1130000.00"
"121";"PROJECTOR CASIO SMP KOPER";"2";"2017-08-30";"1";"3";"0.25";"0.75";"13400000";"3350000.01";"10049999.99";"1116666.67";"4466666.68";"8933333.32"
"122";"AMPLIFIER BHAMP TOA SMP KOPER";"1";"2017-08-30";"1";"3";"0.25";"0.75";"3000000";"750000.00";"2250000.00";"250000";"1000000.00";"2000000.00"
"123";"PRINTER EPSON L-310 TK KOPER";"1";"2017-08-30";"1";"3";"0.25";"0.75";"1695000";"423750.00";"1271250.00";"141250";"565000.00";"1130000.00"
"124";"1 UNIT RAKITAN (R.AULA MULTIMEDIA) TK KOPER";"1";"2017-09-20";"1";"2";"0.17";"0.83";"5050000";"841666.66";"4208333.34";"420833.33";"1262499.99";"3787500.01"
"125";"6 AC DAIKIN @Rp.5.450.000 SMP KOPER";"6";"2017-11-02";"1";"0";"0";"1";"32700000";"0.00";"32700000.00";"2725000";"2725000.00";"29975000.00"
"126";"Kipas Angin Untuk Kelas";"1";"2017-12-02";"1";"-";"-";"-";"3546000";"-";"-";"-";"-";"3546000"
"";"";"";"";"";"";"";"TOTAL";"334634500";"129687416.58";"201401083.42";"11345041.66";"141032458.24";"193602041.76"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Mekar Wangi";"";"";"";"";"";"";"";"";"";"";"";"";""
"127";"SOUND SYSTEM TK/SD TKI";"1";"2016-02-29";"1";"12";"1";"0";"3700000";"3700000";"0";"0";"3700000";"0"
"128";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"2016-03-30";"1";"12";"1";"0";"4715000";"4715000";"0";"0";"4715000";"0"
"129";"KURSI TUNGGU DUMA UTK TK&SD TKI @2BH";"4";"2016-04-30";"4";"19";"1.58";"2.42";"5000000";"1979166.73";"3020833.27";"104166.67";"2083333.40";"2916666.60"
"130";"1 SET SPEAKER+MIC WIRELESS SUX 14E/DGA 31";"1";"2016-06-30";"1";"12";"1";"0";"4000000";"4000000";"0";"0";"4000000";"0"
"131";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"1";"2016-07-30";"1";"12";"1";"0";"5380556";"5380556";"0";"0";"5380556";"0"
"132";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"2";"2016-07-30";"1";"3";"0.25";"0.75";"9519444";"2379861.00";"7139583.00";"793287";"3173148.00";"6346296.00"
"133";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"1";"2016-07-30";"1";"12";"1";"0";"4762024";"4762024";"0";"0";"4762024";"0"
"134";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"6";"2016-07-30";"1";"3";"0.25";"0.75";"26007976";"6501993.99";"19505982.01";"2167331.33";"8669325.32";"17338650.68"
"135";"MAINAN PER KUDA LAUT";"1";"2016-07-30";"1";"12";"1";"0";"2500000";"2500000";"0";"0";"2500000";"0"
"136";"MAINAN INDOOR MOTOR MINI & MINIATUR BUNGA @2,500,000";"1";"2016-09-30";"1";"12";"1";"0";"5000000";"5000000";"0";"0";"5000000";"0"
"137";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"138";"MAINAN INDOOR TREADMILL";"1";"2016-09-30";"1";"12";"1";"0";"1000000";"1000000";"0";"0";"1000000";"0"
"139";"CENTRAL PABX PANASONIC TES-824 KAP 6 LINE-16 EXTENSION";"1";"2016-10-30";"1";"12";"1";"0";"5385000";"5385000";"0";"0";"5385000";"0"
"140";"PLAYGROUND ";"1";"2016-11-30";"5";"11";"0.92";"4.08";"47000000";"8616666.63";"38383333.37";"783333.33";"9399999.96";"37600000.04"
"141";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD TKI";"2";"2017-01-30";"1";"10";"0.83";"0.17";"5350000";"4458333.30";"891666.70";"445833.33";"4904166.63";"445833.37"
"142";"AMPLIFIER TOA 120 WATT";"1";"2017-02-28";"1";"9";"0.75";"0.25";"2130000";"1597500.00";"532500.00";"177500";"1775000.00";"355000.00"
"143";"AC Daikin 50 MV";"1";"2017-07-30";"1";"4";"0.33";"0.67";"5550000";"1850000.00";"3700000.00";"462500";"2312500.00";"3237500.00"
