"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"418";"2020-02-21";"112.28.111";"bdi a/n. ykki";"044/BDIUM-02/20";"UANG HONOR PEMANTAPAN SD CIATEUL BLN FEB 20";"1660000.00";"0.00";"219.16.111";"hutang gaji"
"419";"2020-02-21";"112.28.111";"bdi a/n. ykki";"045/BDIUM-02/20";"SETORAN USAHA DANA KANTIN MEKAR";"1000000.00";"0.00";"219.21.111";"hutang lain2"
"420";"2020-02-21";"112.28.111";"bdi a/n. ykki";"046/BDIUM-02/20";"SETORAN USAHA DANA DP SERAGAM SKKK BLN FEB 2020";"128000000.00";"0.00";"219.21.111";"hutang lain2"
"421";"2020-02-21";"112.28.111";"bdi a/n. ykki";"047/BDIUM-02/20";"Uang pemantapan SMP Koper bln Feb 2020";"3630000.00";"0.00";"219.16.111";"hutang gaji"
"422";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"001/KA11414/TK1-02/20";"Konsumsi anak tgl 30 Jan '20";"330000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"423";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"002/KA11414/TK1-02/20";"Beras 25 kg";"317500.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"424";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"003/KA11415/TK1-02/20";"Pembelian untuk keperluan acara Imlek";"1795200.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"425";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"004/KA11416/TK1-02/20";"Konsumsi anak tgl 6 Feb '20";"325000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"426";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"005/KA11417/TK1-02/20";"Kertas roti";"2500.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"427";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"006/KA11418/TK1-02/20";"Pembelian untuk keperluan acara Imlek (2)";"1327000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"428";"2020-02-21";"626.11.111";"Biaya adm tk ciateul";"007/KA11419/TK1-02/20";"Konsumsi anak tgl 13 Feb '20";"325000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"429";"2020-02-21";"831.11.111";"Biaya telepon tk ciateul";"008/KK12198/TK1-02/20";"Internet Wifi.id";"50000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"430";"2020-02-21";"631.11.111";"Pemel. inventaris tk ciateul";"009/KK12199/TK1-02/20";"Daia + sunlight";"26500.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"431";"2020-02-21";"662.11.111";"Biaya promosi tk ciateul";"010/KK12200/TK1-02/20";"Banner Sekolah";"93000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"432";"2020-02-21";"621.11.111";"Iuran sampah & dinas tk ciateul";"011/KK12201/TK1-02/20";"Parkir Pak Komar bln Jan '20";"250000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"433";"2020-02-21";"662.11.111";"Biaya promosi tk ciateul";"012/KK12202/TK1-02/20";"Banner sekolah";"126000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"434";"2020-02-21";"713.11.111";"Biaya pemel. bangunan tk ciateul";"013/KK12203/TK1-02/20";"Baygon";"83900.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"435";"2020-02-21";"662.11.111";"Biaya promosi tk ciateul";"014/KK12203/TK1-02/20";"Banner logo sekolah";"23000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"436";"2020-02-21";"621.11.117";"Alat tulis kantor tk ciateul";"015/KK12204/TK1-02/20";"Baterai Alkaline";"67000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"437";"2020-02-21";"713.11.111";"Biaya pemel. bangunan tk ciateul";"016/KK12205/TK1-02/20";"Stop kontak, steker untk kantor TK";"50000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"438";"2020-02-21";"621.11.112";"Air & gas & konsumsi tk ciateul";"017/KK12206/TK1-02/20";"Air minum";"14000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"439";"2020-02-21";"713.11.111";"Biaya pemel. bangunan tk ciateul";"018/KK12206/TK1-02/20";"Kran + solasi untk taman TK belakang";"50000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"440";"2020-02-21";"621.11.111";"Iuran sampah & dinas tk ciateul";"019/KK12207/TK1-02/20";"Konsumsi rapat IGTKI";"30000.00";"0.00";"111.21.111";"kas kecil tk ciateul"
"441";"2020-02-24";"112.35.111";"bank bca r/k.77";"041/BCAUM-02/20";"SEWA LAPANGAN BASKET 5X BLN FEB 2020";"1250000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"442";"2020-02-24";"112.35.111";"bank bca r/k.77";"042/BCAUM-02/20";"SEWA LAPANGAN BASKET 4X BLN FEB 2020";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"443";"2020-02-24";"112.28.111";"bdi a/n. ykki";"048/BDIUM-02/20";"Reimburse kas kecil TK CTL periode 27 Jan 20 s/d 12 Feb 20";"0.00";"5285600.00";"111.21.111";"kas kecil tk ciateul"
"444";"2020-02-24";"112.28.111";"bdi a/n. ykki";"049/BDIUM-02/20";"HONOR KARYAWAN SD CTL (MARYAM) BOS TWIII";"4340000.00";"0.00";"120.11.111";"piutang lain-lain"
"445";"2020-02-24";"112.28.111";"bdi a/n. ykki";"050/BDIUM-02/20";"Reimburse kas kecil TK TKI periode 09 Jan 20s/d 12 Feb 20";"0.00";"3344500.00";"111.23.111";"kas kecil tk tki"
"446";"2020-02-24";"626.13.111";"Biaya adm. tk tki";"001/KA30941/TK3-02/20";"Biaya survei ke China Town : 2 tiket x @ Rp 30.000 (Ms. Ellya & Ms. Erlin)";"60000.00";"0.00";"111.23.111";"kas kecil tk tki"
