"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"617";"2020-03-31";"415.13.111";"u.adm. tk tki";"03/004-03/20";"PEMBYRN EKSKUL TK TKI BLN MARET 20 (BCA TKI)";"0.00";"170000.00";"112.36.113";"bank bca va tki"
"618";"2020-03-31";"118.11.113";"piutang spp tk tki";"03/005-03/20";"PEMBYRN PIU.US TK TKI BLN MARET 20 (BDI TKI)";"0.00";"5575000.00";"112.32.113";"bdi tki (virtual account)"
"619";"2020-03-31";"406.13.111";"UP bayar dimuka tk tki";"03/006-03/20";"UM UP 20-21 TK TKI BLN MARET 2020 (BCA TKI)";"0.00";"9176000.00";"112.36.113";"bank bca va tki"
"620";"2020-03-31";"406.13.111";"UP bayar dimuka tk tki";"03/007-03/20";"UM UP 20-21 TK TKI BLN MARET 2020 (BDI TKI)";"0.00";"5575000.00";"112.32.113";"bdi tki (virtual account)"
"621";"2020-03-31";"751.11.111";"Biaya adm bank";"03/008-03/20";"BI ADM BANK US TK TKI BLN MARET 20";"0.00";"30000.00";"118.11.113";"piutang spp tk tki"
"622";"2020-03-31";"751.11.111";"Biaya adm bank";"03/009-03/20";"BI ADM BANK UP TK TKI BLN MARET 20";"0.00";"1000.00";"119.11.113";"piutang up tk tki"
"623";"2020-03-31";"751.11.111";"Biaya adm bank";"03/010-03/20";"BI ADM BANK UM UP TK TKI BLN MARET 20";"0.00";"1000.00";"406.13.111";"UP bayar dimuka tk tki"
"624";"2020-03-31";"118.21.111";"piutang spp sd ciateul";"04/001-03/20";"US SD CTL MARET 2020";"119196500.00";"0.00";"412.11.111";"SPP sd ciateul"
"625";"2020-03-31";"118.21.111";"piutang spp sd ciateul";"04/002-03/20";"MURID MASUK US SD CTL MARET 20  ";"600000.00";"0.00";"412.11.111";"SPP sd ciateul"
"626";"2020-03-31";"119.21.111";"piutang up sd ciateul";"04/003-03/20";"MURID MASUK UP SD CTL MARET 20  ";"4750000.00";"0.00";"442.11.111";"UP sd ciateul"
"627";"2020-03-31";"118.21.111";"piutang spp sd ciateul";"04/004-03/20";"BEASISWA SD CTL BLN MARET 20";"0.00";"5610000.00";"691.14.111";"beasiswa sd ctl"
"628";"2020-03-31";"118.21.111";"piutang spp sd ciateul";"04/005-03/20";"PEMBYRN PIU.US SD CTL MARET 20 (BCA CTL)";"0.00";"41670250.00";"112.36.111";"bank bca va ciateul"
"629";"2020-03-31";"415.14.111";"u.adm. sd ciateul";"04/006-03/20";"ADMIN + EKSKUL TP 19-20 SD CTL MARET 20 (BCA CTL)";"0.00";"6468500.00";"112.36.111";"bank bca va ciateul"
"630";"2020-03-31";"119.21.111";"piutang up sd ciateul";"04/007-03/20";"PEMBYRN PIU.UP SD CTL MARET 20 (BCA CTL)";"0.00";"2757500.00";"112.36.111";"bank bca va ciateul"
"631";"2020-03-31";"407.11.111";"UP bayar dimuka sd ctl";"04/008-03/20";"PEMBYRN SUMBANGAN SD CTL MARET 20 (BCA CTL)";"0.00";"200000.00";"112.36.111";"bank bca va ciateul"
"632";"2020-03-31";"118.21.111";"piutang spp sd ciateul";"04/009-03/20";"PEMBYRN PIU.US SD CTL MARET 20 (BDI CTL)";"0.00";"52305000.00";"112.32.111";"bdi virtual Ctl(3562377469)"
"633";"2020-03-31";"415.14.111";"u.adm. sd ciateul";"04/010-03/20";"ADM + EKSKUL TP 19-20 SD CTL MARET 20 (BDI CTL)";"0.00";"10250000.00";"112.32.111";"bdi virtual Ctl(3562377469)"
